Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1962,16.387638,30.341322,1,"=""036007"""
1963,16.066576,29.51233,1,"=""036007"""
1964,16.591507,30.727049,1,"=""036007"""
1965,16.94,31.077198,1,"=""036007"""
1966,,,0,
1967,16.830748,30.138998,1,"=""036007"""
1968,16.83158,29.598343,1,"=""036007"""
1969,17.517366,30.63064,1,"=""036007"""
1970,16.37686,30.407713,1,"=""036007"""
1971,16.527779,29.740166,1,"=""036007"""
1972,,,0,
1973,18.1263,30.268156,1,"=""036007"""
1974,,,0,
1975,16.928766,29.944931,1,"=""036007"""
1976,15.663115,29.581694,1,"=""036007"""
1977,16.458403,29.50507,1,"=""036007"""
1978,16.148352,28.895592,1,"=""036007"""
1979,16.976439,30.563013,1,"=""036007"""
1980,17,30.907124,1,"=""036007"""
1981,16.687258,29.944723,1,"=""036007"""
1982,16.2958,30.651945,1,"=""036007"""
1983,17.64767,29.797535,1,"=""036007"""
1984,,,0,
1985,,,0,
1986,,,0,
1987,17.479834,30.244904,1,"=""036007"""
1988,18.0675,30.734154,1,"=""036007"""
1989,,,0,
1990,,,0,
1991,16.449041,30.911781,1,"=""036007"""
1992,16.619946,30.566393,1,"=""036007"""
1993,17.918182,30.67096,1,"=""036007"""
1994,16.738905,30.499453,1,"=""036007"""
1995,17.782192,30.767944,1,"=""036007"""
1996,17.48825,30.42623,1,"=""036007"""
1997,17.095617,29.943836,1,"=""036007"""
1998,17.94822,30.347397,1,"=""036007"""
1999,17.173973,29.872055,1,"=""036007"""
2000,16.833885,29.03956,1,"=""036007"""
2001,16.458357,30.449041,1,"=""036007"""
2002,16.95457,31.75374,1,"=""036007"""
2003,17.780993,31.321487,1,"=""036007"""
2004,17.146154,31.029781,1,"=""036007"""
2005,17.934072,31.51653,1,"=""036007"""
2006,17.487053,30.634808,1,"=""036007"""
2007,17.279179,30.292055,1,"=""036007"""
2008,16.626028,30.118853,1,"=""036007"""
2009,17.279451,31.154121,1,"=""036007"""
2010,16.786264,28.787638,1,"=""036007"""
2011,15.7615595,29.698338,1,"=""036007"""
2012,16.035854,30.186909,1,"=""036007"""
2013,,,0,
2014,,,0,
2015,17.816902,31.564526,1,"=""036007"""
2016,,,0,
2017,,,0,
2018,,,0,
2019,,,0,
2020,,,0,
2021,,,0,
