Campbell Island,6172,K94400,-52.550,169.150,15,W,Metservice              ,null,1994/12/31,0,'Eleven-station' series,Campbell Is	
Campbell Island,6174,K94402,-52.55059,169.14978,16,H,Metservice          ,1995/01/01,null,0,'Eleven-station' series,Campbell Island Aws
Gisborne Airport,2807,D87692,-38.661,177.986,4,G,N/A,null                ,1989/12/31,0,'Eleven-station' series,Gisborne Aero
Gisborne Airport,2810,D87695,-38.65860,177.98513,5,H,Metservice          ,1990/01/01,null,0,'Eleven-station' series,Gisborne Aws
Hamilton,2101,C75731,-37.780,175.313,40,G,N/A                            ,null,1996/12/31,0,'Eleven-station' series,Hamilton, Ruakura
Hamilton,12616,C75733,-37.77879,175.31271,40,H,Niwa                      ,1997/01/01,2005/12/31,0,'Eleven-station' series,Hamilton, Ruakura Ews
Hamilton,26117,C75734,-37.77389,175.30517,45,H,Niwa/Agresearch           ,2006/01/01,null,0,'Eleven-station' series,Hamilton, Ruakura 2 Ews
Invercargill Airport,5814,I68433,-46.41741,168.33052,1,H,N/A             ,null,null,0,'Eleven-station' series,Invercargill Aero
Molesworth,4461,G23021,-42.088,173.258,890,T,N/A                         ,null,1992/12/31,0,'Eleven-station' series,Molesworth
Molesworth,7427,G23022,-42.087,173.260,883,G,Metservice                  ,1993/01/01,null,0,'Eleven-station' series,Molesworth Aws	
Mt Ruapehu,2363,C95251,-39.202,175.540,1119,G,N/A                        ,null,1979/12/31,0,'Eleven-station' series,Mt Ruapehu, Chateau 1
Mt Ruapehu,2357,C95152,-39.198,175.544,1097,G,N/A                        ,1987/01/01,1999/12/31,0,'Eleven-station' series,Mt Ruapehu, Chateau 2
Mt Ruapehu,18464,C95153,-39.19589,175.54504,1097,H,Niwa/Doc              ,2000/09/12,null,0,'Eleven-station' series,Mt Ruapehu, Chateau Ews
Palmerston North,3238,E05363,-40.382,175.609,34,G,N/A                    ,null,2000/12/31,0,'Eleven-station' series,Palmerston North Aws
Palmerston North,21963,E0536D,-40.38195,175.60915,21,H,Niwa/Agresearch   ,2001/01/01,null,0,'Eleven-station' series,Palmerston North Ews
Queenstown,5446,I58061,-45.03476,168.66364,322,H,N/A                     ,null,null,0,'Eleven-station' series,Queenstown
Raoul Island,6169,J99700,-29.250,-177.917,38,W,Metservice                ,null,1997/12/31,0,'Eleven-station' series,Raoul Is
Raoul Island,6170,J99701,-29.24488,-177.92913,50,H,Metservice            ,1998/01/01,null,0,'Eleven-station' series,Raoul Island Aws
Tauranga Airport,1612,B76621,-37.67242,176.19635,0,H,N/A                 ,null,1988/12/31,0,'Eleven-station' series,Tauranga Aero
Tauranga Airport,1615,B76624,-37.67068,176.19660,5,H,Metservice          ,1990/05/31,null,0,'Eleven-station' series,Tauranga Aero Aws
Westport Airport,3810,F11752,-41.740,171.578,2,G,N/A                     ,null,1991/10/12,0,'Eleven-station' series,Westport Aero
Westport Airport,7342,F11754,-41.74075,171.57985,5,H,Metservice          ,1991/10/13,null,0,'Eleven-station' series,Westport Aero Aws
